date_id,date_key,year,quarter,month_number,month_name,week_of_year,day_of_month,day_name,is_weekend,year_month
20170304,2017-03-04,2017,1,3,March,9,4,Saturday,Weekend,2017-03
20170305,2017-03-05,2017,1,3,March,10,5,Sunday,Weekend,2017-03
20170306,2017-03-06,2017,1,3,March,10,6,Monday,Weekday,2017-03
20170307,2017-03-07,2017,1,3,March,10,7,Tuesday,Weekday,2017-03
20170308,2017-03-08,2017,1,3,March,10,8,Wednesday,Weekday,2017-03
20170309,2017-03-09,2017,1,3,March,10,9,Thursday,Weekday,2017-03
20170310,2017-03-10,2017,1,3,March,10,10,Friday,Weekday,2017-03
20170311,2017-03-11,2017,1,3,March,10,11,Saturday,Weekend,2017-03
20170312,2017-03-12,2017,1,3,March,11,12,Sunday,Weekend,2017-03
20170313,2017-03-13,2017,1,3,March,11,13,Monday,Weekday,2017-03
20170314,2017-03-14,2017,1,3,March,11,14,Tuesday,Weekday,2017-03
20170315,2017-03-15,2017,1,3,March,11,15,Wednesday,Weekday,2017-03
20170316,2017-03-16,2017,1,3,March,11,16,Thursday,Weekday,2017-03
20170317,2017-03-17,2017,1,3,March,11,17,Friday,Weekday,2017-03
20170318,2017-03-18,2017,1,3,March,11,18,Saturday,Weekend,2017-03
20170319,2017-03-19,2017,1,3,March,12,19,Sunday,Weekend,2017-03
20170320,2017-03-20,2017,1,3,March,12,20,Monday,Weekday,2017-03
20170321,2017-03-21,2017,1,3,March,12,21,Tuesday,Weekday,2017-03
20170322,2017-03-22,2017,1,3,March,12,22,Wednesday,Weekday,2017-03
20170323,2017-03-23,2017,1,3,March,12,23,Thursday,Weekday,2017-03
20170324,2017-03-24,2017,1,3,March,12,24,Friday,Weekday,2017-03
20170325,2017-03-25,2017,1,3,March,12,25,Saturday,Weekend,2017-03
20170326,2017-03-26,2017,1,3,March,13,26,Sunday,Weekend,2017-03
20170327,2017-03-27,2017,1,3,March,13,27,Monday,Weekday,2017-03
20170328,2017-03-28,2017,1,3,March,13,28,Tuesday,Weekday,2017-03
20170329,2017-03-29,2017,1,3,March,13,29,Wednesday,Weekday,2017-03
20170330,2017-03-30,2017,1,3,March,13,30,Thursday,Weekday,2017-03
20170331,2017-03-31,2017,1,3,March,13,31,Friday,Weekday,2017-03
20170401,2017-04-01,2017,2,4,April,13,1,Saturday,Weekend,2017-04
20170402,2017-04-02,2017,2,4,April,14,2,Sunday,Weekend,2017-04
20170403,2017-04-03,2017,2,4,April,14,3,Monday,Weekday,2017-04
20170404,2017-04-04,2017,2,4,April,14,4,Tuesday,Weekday,2017-04
20170405,2017-04-05,2017,2,4,April,14,5,Wednesday,Weekday,2017-04
20170406,2017-04-06,2017,2,4,April,14,6,Thursday,Weekday,2017-04
20170407,2017-04-07,2017,2,4,April,14,7,Friday,Weekday,2017-04
20170408,2017-04-08,2017,2,4,April,14,8,Saturday,Weekend,2017-04
20170409,2017-04-09,2017,2,4,April,15,9,Sunday,Weekend,2017-04
20170410,2017-04-10,2017,2,4,April,15,10,Monday,Weekday,2017-04
20170411,2017-04-11,2017,2,4,April,15,11,Tuesday,Weekday,2017-04
20170412,2017-04-12,2017,2,4,April,15,12,Wednesday,Weekday,2017-04
20170413,2017-04-13,2017,2,4,April,15,13,Thursday,Weekday,2017-04
20170414,2017-04-14,2017,2,4,April,15,14,Friday,Weekday,2017-04
20170415,2017-04-15,2017,2,4,April,15,15,Saturday,Weekend,2017-04
20170416,2017-04-16,2017,2,4,April,16,16,Sunday,Weekend,2017-04
20170417,2017-04-17,2017,2,4,April,16,17,Monday,Weekday,2017-04
20170418,2017-04-18,2017,2,4,April,16,18,Tuesday,Weekday,2017-04
20170419,2017-04-19,2017,2,4,April,16,19,Wednesday,Weekday,2017-04
20170420,2017-04-20,2017,2,4,April,16,20,Thursday,Weekday,2017-04
20170421,2017-04-21,2017,2,4,April,16,21,Friday,Weekday,2017-04
20170422,2017-04-22,2017,2,4,April,16,22,Saturday,Weekend,2017-04
20170423,2017-04-23,2017,2,4,April,17,23,Sunday,Weekend,2017-04
20170424,2017-04-24,2017,2,4,April,17,24,Monday,Weekday,2017-04
20170425,2017-04-25,2017,2,4,April,17,25,Tuesday,Weekday,2017-04
20170426,2017-04-26,2017,2,4,April,17,26,Wednesday,Weekday,2017-04
20170427,2017-04-27,2017,2,4,April,17,27,Thursday,Weekday,2017-04
20170428,2017-04-28,2017,2,4,April,17,28,Friday,Weekday,2017-04
20170429,2017-04-29,2017,2,4,April,17,29,Saturday,Weekend,2017-04
20170430,2017-04-30,2017,2,4,April,18,30,Sunday,Weekend,2017-04
20170501,2017-05-01,2017,2,5,May,18,1,Monday,Weekday,2017-05
20170502,2017-05-02,2017,2,5,May,18,2,Tuesday,Weekday,2017-05
20170503,2017-05-03,2017,2,5,May,18,3,Wednesday,Weekday,2017-05
20170504,2017-05-04,2017,2,5,May,18,4,Thursday,Weekday,2017-05
20170505,2017-05-05,2017,2,5,May,18,5,Friday,Weekday,2017-05
20170506,2017-05-06,2017,2,5,May,18,6,Saturday,Weekend,2017-05
20170507,2017-05-07,2017,2,5,May,19,7,Sunday,Weekend,2017-05
20170508,2017-05-08,2017,2,5,May,19,8,Monday,Weekday,2017-05
20170509,2017-05-09,2017,2,5,May,19,9,Tuesday,Weekday,2017-05
20170510,2017-05-10,2017,2,5,May,19,10,Wednesday,Weekday,2017-05
20170511,2017-05-11,2017,2,5,May,19,11,Thursday,Weekday,2017-05
20170512,2017-05-12,2017,2,5,May,19,12,Friday,Weekday,2017-05
20170513,2017-05-13,2017,2,5,May,19,13,Saturday,Weekend,2017-05
20170514,2017-05-14,2017,2,5,May,20,14,Sunday,Weekend,2017-05
20170515,2017-05-15,2017,2,5,May,20,15,Monday,Weekday,2017-05
20170516,2017-05-16,2017,2,5,May,20,16,Tuesday,Weekday,2017-05
20170517,2017-05-17,2017,2,5,May,20,17,Wednesday,Weekday,2017-05
20170518,2017-05-18,2017,2,5,May,20,18,Thursday,Weekday,2017-05
20170519,2017-05-19,2017,2,5,May,20,19,Friday,Weekday,2017-05
20170520,2017-05-20,2017,2,5,May,20,20,Saturday,Weekend,2017-05
20170521,2017-05-21,2017,2,5,May,21,21,Sunday,Weekend,2017-05
20170522,2017-05-22,2017,2,5,May,21,22,Monday,Weekday,2017-05
